key	RT	AbsTime
return	889.1	4426.1
p	1787.1	5324.1
q	1937.0	5474.0
ngine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.2626 	INFO 	Subject abc, Session 1
4.2626 	INFO 	sequence 0: [3, 2, 4, 1]
4.2626 	INFO 	sequence 1: [1, 3, 2, 4]
4.2626 	INFO 	sequence 2: [4, 1, 3, 2]
4.2626 	INFO 	sequence 3: [4, 3, 2, 1]
4.2670 	EXP 	Instructions
4.7971 	DATA 	Keypress: return
4.8018 	EXP 	unnamed GratingStim: tex = None
4.8018 	EXP 	Fixation
5.3027 	EXP 	Block 0, Sequence 3: [4, 3, 2, 1]
5.3049 	EXP 	Fixation
5.8141 	EXP 	Square 1/4
6.0187 	EXP 	Square 2/4
6.2237 	EXP 	Square 3/4
6.2961 	DATA 	Keypress: p
6.4193 	DATA 	Keypress: q
6.4282 	EXP 	Square 4/4
7.1300 	EXP 	Trial 0, goForward False
7.1331 	EXP 	Left Arrow
8.0191 	DATA 	Keypress: return
8.5429 	DATA 	Mouse: Left button down, pos=(636,357)
8.7093 	DATA 	Mouse:  Left button up, pos=(636,357)
8.9172 	DATA 	Keypress: p
9.0670 	DATA 	Keypress: q
9.1363 	EXP 	window1: mouseVisible = True
